Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		37374	51900		4.661	
		37433	52000		4.674	
		37486	52100		4.808	
		37542	52200		4.783	
		37598	52300		4.752	
		37663	52400		4.551	
		37709	52500		4.487	
		37767	52600		4.324	
		37833	52700		4.339	
		37895	52800		4.499	
		37967	52900		4.295	
		38025	53000		4.241	
		38084	53100		4.157	
		38151	53200		4.248	
		38210	53300		4.195	
		38269	53400		4.166	
		38328	53500		4.139	
		38388	53600		4.116	
		38450	53700		4.205	
		38505	53800		3.838	
		38571	53900		3.9	
		38631	54000		3.912	
		38694	54100		4.036	
		38737	54200		3.845	
		38796	54300		3.938	
		38856	54400		3.947	
		38922	54500		4.041	
		38987	54600		4.128	
		39047	54700		4.195	
		39103	54800		4.233	
		39168	54900		4.24	
		39226	55000		4.291	
		39289	55100		4.218	
		39352	55200		4.281	
		39411	55300		4.282	
		39469	55400		4.359	
		39524	55500		4.363	
		39579	55600		4.312	
		39639	55700		4.257	
		39708	55800		4.359	
		39780	55900		4.428	
		39839	56000		4.478	
		39893	56100		4.595	
		39957	56200		4.682	
		40019	56300		4.683	
		40072	56400		4.555	
		40131	56500		4.466	
		40190	56600		4.456	
		40247	56700		4.334	
		40309	56800		4.38	
		40373	56900		4.202	
		40436	57000		4.088	
		40496	57100		4.02	
		40555	57200		3.988	
		40612	57300		4.006	
		40669	57400		4.093	
		40723	57500		4.039	
		40787	57600		4.12	
		40843	57700		4.134	
		40898	57800		4.002	
		40950	57900		4.055	
		41015	58000		4.109	
		41076	58100		4.04	
		41133	58200		4.032	
		41189	58300		3.966	
		41258	58400		4.078	
		41311	58500		4.116	
		41371	58600		4.035	
		41420	58700		4.023	
		41473	58800		4.092	
		41530	58900		4.111	
		41576	59000		3.998	
		41627	59100		3.929	
		41685	59200		3.848	
		41748	59300		3.868	
		41802	59400		3.691	
		41858	59500		3.617	
		41911	59600		3.576	
		41967	59700		3.575	
		42022	59800		3.648	
		42077	59900		3.566	
		42135	60000		3.651	
		42194	60100		3.878	
		42257	60200		3.922	
		42319	60300		4.002	
		42374	60400		4.024	
		42426	60500		4.054	
		42488	60600		4.206	
		42546	60700		4.209	
		42603	60800		4.019	
		42660	60900		4.059	
		42717	61000		4.041	
		42765	61100		3.829	
		42818	61200		3.769	
		42879	61300		3.598	
		42929	61400		3.543	
		42988	61500		3.63	
		43045	61600		3.474	
		43094	61700		3.445	
		43151	61800		3.587	
		43218	61900		3.642	
		43278	62000		3.769	
		43340	62100		3.895	
		43401	62200		3.983	
		43462	62300		4.086	
		43521	62400		4.251	
		43577	62500		4.27	
		43632	62600		4.272	
		43685	62700		4.338	
		43749	62800		4.364	
		43801	62900		4.234	
		43853	63000		4.098	
		43902	63100		4.018	
		43960	63200		3.933	
		44017	63300		4.198	
		44091	63400		4.204	
		44148	63500		4.092	
		44201	63600		4.091	
		44258	63700		4.052	
		44313	63800		3.948	
		44369	63900		3.923	
		44427	64000		3.921	
		44470	64100		3.814	
		44524	64200		3.903	
		44577	64300		3.575	
		44632	64400		3.489	
		44694	64500		3.539	
		44752	64600		3.511	
		44795	64700		3.549	
		44840	64800		3.546	
		44902	64900		3.641	
		44958	65000		3.69	
		45029	65100		3.864	
		45093	65200		3.916	
		45152	65300		3.929	
		45205	65400		3.845	
		45262	65500		3.873	
		45309	65600		3.919	
		45368	65700		3.938	
		45424	65800		3.969	
		45482	65900		3.977	
		45540	66000		3.959	
		45592	66100		3.799	
		45648	66200		3.796	
		45710	66300		3.864	
		45767	66400		3.946	
		45834	66500		4.021	
		45891	66600		4.12	
		45946	66700		4.187	
		46004	66800		4.199	
		46055	66900		4.142	
		46106	67000		4.078	
		46168	67100		4.134	
		46230	67200		4.103	
		46287	67300		4.059	
		46344	67400		4.035	
		46399	67500		3.847	
		46463	67600		3.802	
		46517	67700		3.72	
		46573	67800		3.737	
		46632	67900		3.777	
		46684	68000		3.77	
		46745	68100		3.813	
		46802	68200		3.787	
		46854	68300		3.74	
		46904	68400		3.739	
		46951	68500		3.757	
		47005	68600		3.706	
		47062	68700		3.705	
		47123	68800		3.702	
		47174	68900		3.743	
		47234	69000		3.869	
		47285	69100		3.884	
		47338	69200		3.799	
		47389	69300		3.759	
